player,market,line,side,best_price,book,model_p,fair_p,edge,ev_per_unit,p_push,is_whole_line,n_books,kelly_full,kelly_frac,bet_flag
Erica Wheeler,player_points,8.5,under,-110,fanduel,0.8288,0.5017,0.3271,0.5823,0.0,0,4,0.6405,0.1601,1
Erica Wheeler,player_assists,4.5,under,-112,draftkings,0.8182,0.4911,0.3271,0.5487,0.0,0,3,0.6146,0.1536,1
Odyssey Sims,player_points,7.5,under,104,fanduel,0.789,0.4669,0.3221,0.6096,0.0,0,4,0.5861,0.1465,1
Erica Wheeler,player_assists,5.5,under,-172,fanduel,0.8974,0.6004,0.297,0.4191,0.0,0,1,0.7209,0.1802,1
Odyssey Sims,player_assists,2.5,under,113,draftkings,0.7134,0.4425,0.2709,0.5195,0.0,0,2,0.4598,0.1149,1
Awak Kuier,player_rebounds,4.5,under,-118,draftkings,0.7778,0.5089,0.2689,0.437,0.0,0,3,0.5156,0.1289,1
Odyssey Sims,player_rebounds,1.5,under,100,betonlineag,0.724,0.4663,0.2577,0.448,0.0,0,1,0.448,0.112,1
Erica Wheeler,player_rebounds,2.5,under,-198,draftkings,0.8783,0.6358,0.2425,0.3219,0.0,0,2,0.6373,0.1593,1
Awak Kuier,player_points,6.5,under,105,draftkings,0.6863,0.4514,0.2349,0.4069,0.0,0,1,0.3875,0.0969,1
Awak Kuier,player_points,7.5,under,-135,betonlineag,0.7658,0.5428,0.223,0.3331,0.0,0,2,0.4496,0.1124,1
Leila Lacan,player_rebounds,2.5,under,120,draftkings,0.6405,0.4228,0.2177,0.4091,0.0,0,3,0.3409,0.0852,1
Jessica Shepard,player_rebounds,10.5,under,-112,fanduel,0.6986,0.5117,0.1869,0.3223,0.0,0,4,0.361,0.0903,1
Olivia Nelson-Ododa,player_rebounds,8.5,under,100,fanduel,0.645,0.4655,0.1795,0.29,0.0,0,4,0.29,0.0725,1
Jessica Shepard,player_points,13.5,under,-118,draftkings,0.6882,0.5089,0.1793,0.2714,0.0,0,3,0.3203,0.0801,1
Jessica Shepard,player_assists,4.5,under,118,betonlineag,0.6107,0.4367,0.174,0.3313,0.0,0,4,0.2808,0.0702,1
Jewell Loyd,player_rebounds,2.5,under,-140,draftkings,0.7218,0.5511,0.1707,0.2374,0.0,0,2,0.3323,0.0831,1
Jewell Loyd,player_points,7.5,under,-103,draftkings,0.6297,0.4736,0.1561,0.2411,0.0,0,2,0.2483,0.0621,1
Jackie Young,player_assists,6.5,under,110,fanduel,0.6084,0.4567,0.1517,0.2776,0.0,0,4,0.2524,0.0631,1
Jackie Young,player_points,19.5,under,-110,fanduel,0.6549,0.5045,0.1504,0.2503,0.0,0,4,0.2753,0.0688,1
Jewell Loyd,player_points,8.5,under,-143,williamhill_us,0.7056,0.5558,0.1498,0.199,0.0,0,1,0.2846,0.0712,1
Monique Akoa Makani,player_points,6.5,under,-115,draftkings,0.6422,0.5,0.1422,0.2006,0.0,0,3,0.2307,0.0577,1
Jessica Shepard,player_points,12.5,under,-108,betonlineag,0.6285,0.4865,0.142,0.2104,0.0,0,1,0.2273,0.0568,1
Alanna Smith,player_points,10.5,under,-115,fanduel,0.6507,0.509,0.1417,0.2165,0.0,0,4,0.249,0.0623,1
Chelsea Gray,player_assists,6.5,under,-104,fanduel,0.6259,0.486,0.1399,0.2277,0.0,0,4,0.2368,0.0592,1
Chelsea Gray,player_rebounds,3.5,under,-150,williamhill_us,0.7141,0.5752,0.1389,0.1902,0.0,0,4,0.2852,0.0713,1
Rae Burrell,player_points,16.5,under,-114,fanduel,0.6398,0.5022,0.1376,0.201,0.0,0,4,0.2292,0.0573,1
Jordin Canada,player_assists,7.5,under,122,betonlineag,0.5723,0.4445,0.1278,0.2705,0.0,0,4,0.2217,0.0554,1
Olivia Nelson-Ododa,player_points,13.5,under,-114,fanduel,0.6251,0.5011,0.124,0.1734,0.0,0,4,0.1977,0.0494,1
Chelsea Gray,player_points,11.5,under,-109,draftkings,0.6119,0.4887,0.1232,0.1733,0.0,0,3,0.1889,0.0472,1
A'ja Wilson,player_points,25.5,under,-120,fanduel,0.6354,0.5162,0.1192,0.1649,0.0,0,4,0.1979,0.0495,1
Chelsea Gray,player_points,12.5,under,-145,williamhill_us,0.6766,0.5576,0.119,0.1432,0.0,0,1,0.2077,0.0519,1
Naz Hillmon,player_rebounds,4.5,under,117,draftkings,0.5431,0.4291,0.114,0.1785,0.0,0,4,0.1526,0.0381,1
Ariel Atkins,player_assists,2.5,under,123,draftkings,0.5203,0.4073,0.113,0.1603,0.0,0,1,0.1303,0.0326,1
Kelsey Mitchell,player_assists,2.5,over,134,draftkings,0.5056,0.3974,0.1082,0.1831,0.0,0,2,0.1366,0.0342,1
NaLyssa Smith,player_rebounds,6.5,under,114,fanduel,0.5452,0.4392,0.106,0.1667,0.0,0,4,0.1463,0.0366,1
Caitlin Clark,player_assists,8.5,under,115,williamhill_us,0.5396,0.4343,0.1053,0.1601,0.0,0,4,0.1393,0.0348,1
Angel Reese,player_points,16.5,over,103,betonlineag,0.5646,0.4618,0.1028,0.1461,0.0,0,3,0.1419,0.0355,1
Lexie Hull,player_rebounds,2.5,over,113,draftkings,0.5283,0.4289,0.0994,0.1253,0.0,0,1,0.1109,0.0277,1
