player,market,line,side,best_price,book,model_p,fair_p,edge,ev_per_unit,p_push,is_whole_line,n_books,kelly_full,kelly_frac,bet_flag
NaLyssa Smith,player_points,10.5,over,-122,fanduel,0.8627,0.5181,0.3446,0.5698,0.0,0,1,0.6952,0.1738,1
NaLyssa Smith,player_points,11.5,over,-110,betonlineag,0.8247,0.4911,0.3336,0.5744,0.0,0,3,0.6319,0.158,1
Jewell Loyd,player_points,7.5,over,-110,fanduel,0.8108,0.5061,0.3047,0.5479,0.0,0,4,0.6027,0.1507,1
Noemie Brochant,player_points,6.5,under,-135,betonlineag,0.8433,0.5435,0.2998,0.468,0.0,0,1,0.6318,0.1579,1
Sophie Cunningham,player_points,7.5,under,-106,draftkings,0.7081,0.4788,0.2293,0.3761,0.0,0,1,0.3987,0.0997,1
Sophie Cunningham,player_points,8.5,under,-130,williamhill_us,0.769,0.5488,0.2202,0.3605,0.0,0,3,0.4687,0.1172,1
Shakira Austin,player_points,16.5,over,-103,betonlineag,0.6865,0.4983,0.1882,0.353,0.0,0,4,0.3636,0.0909,1
Olivia Miles,player_points,18.5,over,-114,fanduel,0.6892,0.5034,0.1858,0.2938,0.0,0,3,0.3349,0.0837,1
DiJonai Carrington,player_points,10.5,under,-107,draftkings,0.6919,0.509,0.1829,0.3385,0.0,0,3,0.3622,0.0906,1
Cotie McMahon,player_points,7.5,under,-120,williamhill_us,0.6951,0.5139,0.1812,0.2744,0.0,0,2,0.3292,0.0823,1
Lexie Hull,player_points,5.5,under,-127,williamhill_us,0.7103,0.5292,0.1811,0.2696,0.0,0,3,0.3424,0.0856,1
Cameron Brink,player_points,9.5,under,-113,williamhill_us,0.6852,0.509,0.1762,0.2916,0.0,0,4,0.3295,0.0824,1
Alanna Smith,player_points,12.5,under,-118,fanduel,0.6865,0.5113,0.1752,0.2683,0.0,0,3,0.3166,0.0791,1
Lexie Hull,player_points,4.5,under,110,betonlineag,0.6111,0.442,0.1691,0.2833,0.0,0,1,0.2576,0.0644,1
Kayla McBride,player_points,15.5,over,-114,fanduel,0.6722,0.5057,0.1665,0.2618,0.0,0,3,0.2985,0.0746,1
Azura Stevens,player_points,10.5,over,-127,betonlineag,0.6969,0.5309,0.166,0.2456,0.0,0,2,0.312,0.078,1
Azura Stevens,player_points,11.5,over,-106,draftkings,0.6407,0.4788,0.1619,0.2451,0.0,0,1,0.2598,0.065,1
