player,market,line,side,best_price,book,model_p,fair_p,edge,ev_per_unit,p_push,is_whole_line,n_books,kelly_full,kelly_frac,bet_flag
Natasha Mack,player_points,6.5,under,-103,draftkings,0.842,0.4731,0.3689,0.6595,0.0,0,2,0.6793,0.1698,1
Natasha Mack,player_rebounds,4.5,under,106,betonlineag,0.8026,0.4529,0.3497,0.6534,0.0,0,2,0.6164,0.1541,1
DiJonai Carrington,player_rebounds,3.5,under,100,draftkings,0.8186,0.4788,0.3398,0.6372,0.0,0,3,0.6372,0.1593,1
Natasha Mack,player_rebounds,5.5,under,-146,draftkings,0.883,0.5574,0.3256,0.4878,0.0,0,1,0.7122,0.178,1
Valeriane Ayayi,player_rebounds,2.5,under,129,draftkings,0.7126,0.3983,0.3143,0.6319,0.0,0,2,0.4898,0.1225,1
DiJonai Carrington,player_points,12.5,under,-110,betonlineag,0.809,0.5022,0.3068,0.5445,0.0,0,3,0.5989,0.1497,1
Valeriane Ayayi,player_points,6.5,under,-101,draftkings,0.7858,0.4833,0.3025,0.5638,0.0,0,2,0.5695,0.1424,1
Monique Billings,player_points,6.5,under,-135,draftkings,0.7889,0.5399,0.249,0.3733,0.0,0,1,0.5039,0.126,1
Angel Reese,player_points,14.5,over,-126,draftkings,0.7396,0.5223,0.2173,0.3266,0.0,0,1,0.4115,0.1029,1
Angel Reese,player_points,15.5,over,-114,fanduel,0.6936,0.5,0.1936,0.302,0.0,0,2,0.3443,0.0861,1
Awa Fam,player_rebounds,4.5,under,-101,draftkings,0.6627,0.4696,0.1931,0.3188,0.0,0,3,0.322,0.0805,1
Jordin Canada,player_points,11.5,over,103,betonlineag,0.6641,0.472,0.1921,0.3481,0.0,0,3,0.338,0.0845,1
Sophie Cunningham,player_points,7.5,under,-104,fanduel,0.6607,0.481,0.1797,0.296,0.0,0,3,0.3078,0.077,1
Kelsey Mitchell,player_assists,2.5,over,110,betonlineag,0.6103,0.4426,0.1677,0.2816,0.0,0,3,0.256,0.064,1
Jade Melbourne,player_rebounds,2.5,over,161,betonlineag,0.5082,0.3464,0.1618,0.3264,0.0,0,1,0.2027,0.0507,1
Megan DiLeo,player_rebounds,4.5,over,102,fanduel,0.6277,0.4663,0.1614,0.268,0.0,0,3,0.2627,0.0657,1
Angel Reese,player_rebounds,12.5,over,110,betonlineag,0.602,0.4433,0.1587,0.2642,0.0,0,3,0.2402,0.06,1
Jade Melbourne,player_points,10.5,over,-106,betonlineag,0.6427,0.4865,0.1562,0.249,0.0,0,3,0.264,0.066,1
Noemie Brochant,player_points,8.5,under,-115,draftkings,0.6649,0.5113,0.1536,0.2431,0.0,0,3,0.2795,0.0699,1
Awa Fam,player_points,7.5,under,-105,draftkings,0.6352,0.4819,0.1533,0.2402,0.0,0,3,0.2522,0.063,1
Kahleah Copper,player_rebounds,3.5,over,112,betonlineag,0.5893,0.438,0.1513,0.2493,0.0,0,3,0.2226,0.0557,1
Makayla Timpson,player_rebounds,6.5,over,111,draftkings,0.5765,0.4328,0.1437,0.2164,0.0,0,1,0.195,0.0487,1
Makayla Timpson,player_rebounds,5.5,over,-138,fanduel,0.694,0.5507,0.1433,0.1969,0.0,0,2,0.2717,0.0679,1
Ezi Magbegor,player_points,7.5,over,-122,betonlineag,0.6594,0.5181,0.1413,0.1999,0.0,0,3,0.2439,0.061,1
Ezi Magbegor,player_assists,2.5,over,167,betonlineag,0.476,0.3373,0.1387,0.2709,0.0,0,1,0.1622,0.0406,1
Jordin Canada,player_rebounds,3.5,over,-112,betonlineag,0.6278,0.5,0.1278,0.1883,0.0,0,3,0.2109,0.0527,1
Natasha Cloud,player_points,10.5,over,103,betonlineag,0.6014,0.4743,0.1271,0.2208,0.0,0,3,0.2144,0.0536,1
