player,market,line,side,best_price,book,model_p,fair_p,edge,ev_per_unit,p_push,is_whole_line,n_books,kelly_full,kelly_frac,bet_flag
Cameron Brink,player_rebounds,5.5,under,-114,fanduel,0.8061,0.509,0.2971,0.5132,0.0,0,3,0.5851,0.1463,1
Lauren Betts,player_rebounds,4.5,under,118,fanduel,0.7135,0.4265,0.287,0.5554,0.0,0,3,0.4707,0.1177,1
Zia Cooke,player_points,9.5,under,-120,betonlineag,0.7697,0.5135,0.2562,0.4111,0.0,0,1,0.4933,0.1233,1
Awa Fam,player_assists,1.5,under,108,betonlineag,0.6966,0.4461,0.2505,0.4489,0.0,0,1,0.4157,0.1039,1
Cotie McMahon,player_points,7.5,under,-114,fanduel,0.7649,0.5203,0.2446,0.4359,0.0,0,3,0.4969,0.1242,1
Natisha Hiedeman,player_rebounds,2.5,over,103,betonlineag,0.7005,0.4596,0.2409,0.422,0.0,0,3,0.4097,0.1024,1
Alanna Smith,player_assists,2.5,under,123,draftkings,0.6615,0.4259,0.2356,0.4751,0.0,0,2,0.3863,0.0966,1
Natisha Hiedeman,player_points,15.5,over,-116,draftkings,0.7426,0.509,0.2336,0.3828,0.0,0,3,0.444,0.111,1
Cameron Brink,player_points,8.5,under,-115,draftkings,0.7382,0.5135,0.2247,0.3801,0.0,0,3,0.4371,0.1093,1
Dominique Malonga,player_rebounds,9.5,over,-108,fanduel,0.7107,0.4865,0.2242,0.3688,0.0,0,3,0.3983,0.0996,1
Awa Fam,player_points,7.5,under,-108,fanduel,0.7106,0.4933,0.2173,0.3686,0.0,0,3,0.398,0.0995,1
Awa Fam,player_rebounds,4.5,under,-125,fanduel,0.7465,0.532,0.2145,0.3437,0.0,0,3,0.4296,0.1074,1
Odyssey Sims,player_points,11.5,under,104,fanduel,0.6567,0.4614,0.1953,0.3397,0.0,0,2,0.3266,0.0817,1
Lauren Betts,player_points,5.5,under,109,draftkings,0.6563,0.4651,0.1912,0.3717,0.0,0,3,0.341,0.0852,1
Olivia Miles,player_points,19.5,over,-101,betonlineag,0.6566,0.4708,0.1858,0.3067,0.0,0,3,0.3098,0.0774,1
Bridget Carleton,player_rebounds,4.5,over,-132,betonlineag,0.7273,0.5421,0.1852,0.2783,0.0,0,3,0.3673,0.0918,1
Odyssey Sims,player_points,12.5,under,-131,draftkings,0.7151,0.5335,0.1816,0.261,0.0,0,1,0.3419,0.0855,1
Natisha Hiedeman,player_assists,5.5,over,114,fanduel,0.6271,0.4491,0.178,0.342,0.0,0,3,0.3,0.075,1
Kayla McBride,player_assists,1.5,over,-112,fanduel,0.6675,0.4933,0.1742,0.2635,0.0,0,1,0.2951,0.0738,1
Monique Billings,player_rebounds,3.5,under,113,betonlineag,0.6057,0.4351,0.1706,0.2901,0.0,0,1,0.2568,0.0642,1
Kayla McBride,player_rebounds,2.5,over,115,betonlineag,0.604,0.4365,0.1675,0.2986,0.0,0,3,0.2597,0.0649,1
Megan DiLeo,player_rebounds,4.5,over,107,draftkings,0.6201,0.4553,0.1648,0.2836,0.0,0,3,0.2651,0.0663,1
Awak Kuier,player_points,8.5,under,-103,draftkings,0.6489,0.486,0.1629,0.2789,0.0,0,2,0.2873,0.0718,1
Olivia Miles,player_rebounds,4.5,over,109,betonlineag,0.6024,0.4486,0.1538,0.259,0.0,0,3,0.2376,0.0594,1
Dominique Malonga,player_points,19.5,over,-123,betonlineag,0.6755,0.5235,0.152,0.2247,0.0,0,3,0.2764,0.0691,1
Paige Bueckers,player_rebounds,3.5,over,-134,draftkings,0.6935,0.5452,0.1483,0.211,0.0,0,2,0.2828,0.0707,1
Ezi Magbegor,player_points,7.5,over,-117,draftkings,0.6662,0.5191,0.1471,0.2356,0.0,0,2,0.2757,0.0689,1
Sonia Citron,player_rebounds,3.5,over,109,betonlineag,0.5975,0.4536,0.1439,0.2488,0.0,0,3,0.2282,0.0571,1
Odyssey Sims,player_rebounds,2.5,under,-127,betonlineag,0.6711,0.5281,0.143,0.1995,0.0,0,1,0.2534,0.0633,1
Nneka Ogwumike,player_rebounds,8.5,over,118,fanduel,0.5734,0.4312,0.1422,0.25,0.0,0,3,0.2119,0.053,1
Nneka Ogwumike,player_points,15.5,over,100,fanduel,0.6082,0.4663,0.1419,0.2164,0.0,0,2,0.2164,0.0541,1
Monique Billings,player_points,5.5,under,103,betonlineag,0.5988,0.4596,0.1392,0.2156,0.0,0,1,0.2093,0.0523,1
Jonquel Jones,player_rebounds,9.5,over,110,fanduel,0.5755,0.4393,0.1362,0.2086,0.0,0,1,0.1896,0.0474,1
Brittney Griner,player_points,11.5,over,-108,fanduel,0.6307,0.4949,0.1358,0.2147,0.0,0,2,0.2319,0.058,1
Breanna Stewart,player_rebounds,8.5,over,116,fanduel,0.5609,0.4258,0.1351,0.2115,0.0,0,1,0.1824,0.0456,1
Courtney Williams,player_points,12.5,over,-110,betonlineag,0.6337,0.5,0.1337,0.2098,0.0,0,3,0.2308,0.0577,1
Natasha Howard,player_rebounds,5.5,over,-123,betonlineag,0.6533,0.5203,0.133,0.1844,0.0,0,3,0.2269,0.0567,1
Rae Burrell,player_rebounds,2.5,over,120,betonlineag,0.5504,0.4201,0.1303,0.2109,0.0,0,3,0.1757,0.0439,1
Odyssey Sims,player_assists,4.5,under,-130,draftkings,0.6737,0.5435,0.1302,0.1919,0.0,0,3,0.2495,0.0624,1
Lexie Hull,player_rebounds,2.5,under,110,draftkings,0.5644,0.4357,0.1287,0.1852,0.0,0,1,0.1684,0.0421,1
Nneka Ogwumike,player_points,14.5,over,-129,draftkings,0.6563,0.529,0.1273,0.1651,0.0,0,1,0.2129,0.0532,1
Arike Ogunbowale,player_rebounds,3.5,over,109,betonlineag,0.574,0.4479,0.1261,0.1997,0.0,0,2,0.1832,0.0458,1
Ezi Magbegor,player_rebounds,4.5,over,-136,fanduel,0.6679,0.5421,0.1258,0.159,0.0,0,1,0.2162,0.0541,1
Kayla McBride,player_points,16.5,over,-102,fanduel,0.6113,0.4865,0.1248,0.2106,0.0,0,3,0.2148,0.0537,1
Jackie Young,player_assists,6.5,over,112,betonlineag,0.5633,0.4393,0.124,0.1942,0.0,0,3,0.1734,0.0433,1
Chelsea Gray,player_assists,6.5,over,110,betonlineag,0.5652,0.442,0.1232,0.1869,0.0,0,3,0.1699,0.0425,1
Paige Bueckers,player_points,21.5,over,100,betonlineag,0.5988,0.477,0.1218,0.1976,0.0,0,2,0.1976,0.0494,1
Caitlin Clark,player_points,22.5,over,-103,betonlineag,0.6025,0.4826,0.1199,0.1875,0.0,0,2,0.1931,0.0483,1
