player,market,line,side,best_price,book,model_p,fair_p,edge,ev_per_unit,p_push,is_whole_line,n_books,kelly_full,kelly_frac,bet_flag
Olivia Miles,player_points,20.5,over,-106,draftkings,0.5931,0.4777,0.1154,0.1526,0.0,0,1,0.1618,0.0404,1
Michaela Onyenwere,player_assists,2.5,under,-183,draftkings,0.7291,0.6139,0.1152,0.1275,0.0,0,1,0.2334,0.0583,1
Michaela Onyenwere,player_assists,1.5,under,141,betonlineag,0.494,0.3791,0.1149,0.1905,0.0,0,1,0.1351,0.0338,1
Brittney Griner,player_assists,2.5,over,155,betonlineag,0.47,0.356,0.114,0.1985,0.0,0,1,0.1281,0.032,1
Jonquel Jones,player_rebounds,8.5,over,-146,draftkings,0.6697,0.5574,0.1123,0.1284,0.0,0,1,0.1875,0.0469,1
Rhyne Howard,player_assists,3.5,over,-102,betonlineag,0.584,0.4724,0.1116,0.1565,0.0,0,3,0.1597,0.0399,1
Chelsea Gray,player_assists,6.5,over,102,fanduel,0.5631,0.4582,0.1049,0.1375,0.0,0,3,0.1348,0.0337,1
Breanna Stewart,player_points,21.5,over,-110,draftkings,0.6012,0.4966,0.1046,0.1477,0.0,0,3,0.1625,0.0406,1
Natisha Hiedeman,player_assists,5.5,over,118,draftkings,0.5334,0.4296,0.1038,0.1628,0.0,0,3,0.138,0.0345,1
Jackie Young,player_assists,6.5,over,104,fanduel,0.5577,0.4565,0.1012,0.1377,0.0,0,3,0.1324,0.0331,1
Rhyne Howard,player_rebounds,3.5,over,-123,betonlineag,0.6265,0.5276,0.0989,0.1358,0.0,0,3,0.1671,0.0418,1
Rhyne Howard,player_points,17.5,over,-103,betonlineag,0.5745,0.4764,0.0981,0.1323,0.0,0,3,0.1362,0.0341,1
Jordan Horston,player_rebounds,3.5,over,-160,draftkings,0.6854,0.5879,0.0975,0.1138,0.0,0,3,0.182,0.0455,1
Brittney Griner,player_points,11.5,over,-128,fanduel,0.6283,0.5324,0.0959,0.1192,0.0,0,2,0.1525,0.0381,1
Napheesa Collier,player_points,19.5,under,-114,fanduel,0.5973,0.5033,0.094,0.1212,0.0,0,3,0.1382,0.0346,1
Allisha Gray,player_rebounds,3.5,over,126,draftkings,0.4908,0.4014,0.0894,0.1092,0.0,0,1,0.0867,0.0217,1
Kelsey Mitchell,player_assists,2.5,over,-125,fanduel,0.6196,0.532,0.0876,0.1153,0.0,0,3,0.1441,0.036,1
Ezi Magbegor,player_rebounds,5.5,over,104,betonlineag,0.5445,0.4582,0.0863,0.1108,0.0,0,3,0.1065,0.0266,1
Azura Stevens,player_assists,2.5,over,148,fanduel,0.4646,0.3798,0.0848,0.1522,0.0,0,2,0.1028,0.0257,1
Dominique Malonga,player_rebounds,9.5,over,-127,betonlineag,0.6245,0.5421,0.0824,0.1162,0.0,0,3,0.1476,0.0369,1
Natasha Cloud,player_assists,5.5,over,-112,fanduel,0.5842,0.5033,0.0809,0.1058,0.0,0,3,0.1185,0.0296,1
Ariel Atkins,player_points,7.5,over,-118,draftkings,0.614,0.5337,0.0803,0.1343,0.0,0,3,0.1585,0.0396,1
Erica Wheeler,player_points,8.5,over,-118,fanduel,0.5888,0.509,0.0798,0.0878,0.0,0,3,0.1036,0.0259,1
Napheesa Collier,player_rebounds,7.5,over,104,fanduel,0.5328,0.4536,0.0792,0.0869,0.0,0,3,0.0836,0.0209,1
Kiki Iriafen,player_points,14.5,over,-125,draftkings,0.6037,0.5248,0.0789,0.0867,0.0,0,3,0.1083,0.0271,1
Shakira Austin,player_rebounds,10.5,over,100,betonlineag,0.5563,0.4788,0.0775,0.1126,0.0,0,3,0.1126,0.0282,1
Jackie Young,player_points,18.5,over,-112,draftkings,0.611,0.5337,0.0773,0.1565,0.0,0,3,0.1753,0.0438,1
Courtney Williams,player_assists,4.5,over,130,fanduel,0.4913,0.4156,0.0757,0.13,0.0,0,3,0.1,0.025,1
Kamilla Cardoso,player_points,14.5,over,-110,fanduel,0.575,0.5,0.075,0.0977,0.0,0,3,0.1075,0.0269,1
Caitlin Clark,player_rebounds,4.5,over,122,betonlineag,0.5007,0.4258,0.0749,0.1116,0.0,0,3,0.0914,0.0229,1
A'ja Wilson,player_points,25.5,over,-113,draftkings,0.588,0.5135,0.0745,0.1084,0.0,0,3,0.1224,0.0306,1
A'ja Wilson,player_rebounds,9.5,over,-135,betonlineag,0.6176,0.5435,0.0741,0.0751,0.0,0,3,0.1014,0.0253,1
Dearica Hamby,player_points,14.5,over,113,betonlineag,0.5219,0.4485,0.0734,0.1116,0.0,0,2,0.0988,0.0247,1
