player,market,line,side,best_price,book,model_p,fair_p,edge,ev_per_unit,p_push,is_whole_line,n_books,kelly_full,kelly_frac,bet_flag
Jessica Shepard,player_points,14.5,under,-111,draftkings,0.7575,0.4939,0.2636,0.4399,0.0,0,4,0.4883,0.1221,1
Sonia Citron,player_assists,4.5,under,128,williamhill_us,0.6571,0.4033,0.2538,0.4982,0.0,0,2,0.3892,0.0973,1
Lauren Betts,player_points,7.5,under,-102,draftkings,0.7149,0.4703,0.2446,0.4158,0.0,0,2,0.4241,0.106,1
Aneesah Morrow,player_rebounds,8.5,under,101,draftkings,0.7119,0.4698,0.2421,0.4309,0.0,0,4,0.4267,0.1067,1
Lauren Betts,player_points,9.5,under,-195,williamhill_us,0.8478,0.6232,0.2246,0.2826,0.0,0,1,0.551,0.1378,1
Sonia Citron,player_assists,5.5,under,-151,draftkings,0.7899,0.5754,0.2145,0.313,0.0,0,2,0.4726,0.1182,1
Jessica Shepard,player_rebounds,11.5,under,-152,fanduel,0.7855,0.5759,0.2096,0.3023,0.0,0,2,0.4595,0.1149,1
Aneesah Morrow,player_points,12.5,under,-103,williamhill_us,0.687,0.4792,0.2078,0.354,0.0,0,4,0.3646,0.0912,1
Leila Lacan,player_rebounds,2.5,under,118,draftkings,0.6315,0.4258,0.2057,0.3767,0.0,0,3,0.3192,0.0798,1
Sonia Citron,player_points,18.5,under,-121,williamhill_us,0.7254,0.5241,0.2013,0.3249,0.0,0,4,0.3931,0.0983,1
Jessica Shepard,player_rebounds,10.5,under,-123,betonlineag,0.7064,0.5179,0.1885,0.2807,0.0,0,2,0.3453,0.0863,1
Olivia Nelson-Ododa,player_rebounds,8.5,under,100,fanduel,0.6538,0.4724,0.1814,0.3076,0.0,0,3,0.3076,0.0769,1
Jackie Young,player_points,19.5,under,-106,fanduel,0.649,0.4819,0.1671,0.2613,0.0,0,3,0.2769,0.0692,1
Rae Burrell,player_points,16.5,under,-102,fanduel,0.6378,0.4765,0.1613,0.2631,0.0,0,3,0.2684,0.0671,1
Napheesa Collier,player_points,18.5,under,-120,williamhill_us,0.6856,0.5286,0.157,0.2569,0.0,0,4,0.3083,0.0771,1
Jackie Young,player_assists,6.5,under,110,fanduel,0.5924,0.4553,0.1371,0.244,0.0,0,3,0.2219,0.0555,1
Lauren Betts,player_rebounds,5.5,under,-155,draftkings,0.7177,0.5816,0.1361,0.1807,0.0,0,4,0.2801,0.07,1
