player,market,line,side,best_price,book,model_p,fair_p,edge,ev_per_unit,p_push,is_whole_line,n_books,kelly_full,kelly_frac,bet_flag
Courtney Williams,player_points,14.5,under,108,williamhill_us,0.6981,0.4663,0.2318,0.452,0.0,0,3,0.4186,0.1046,1
Courtney Williams,player_points,15.5,under,-124,draftkings,0.7496,0.519,0.2306,0.3541,0.0,0,1,0.4391,0.1098,1
Carla Leite,player_points,17.5,under,-108,betonlineag,0.7113,0.4989,0.2124,0.3699,0.0,0,4,0.3995,0.0999,1
Laura Juskaite,player_rebounds,4.5,over,128,fanduel,0.5795,0.4015,0.178,0.3213,0.0,0,2,0.251,0.0627,1
Emily Engstler,player_points,9.5,under,-103,betonlineag,0.6632,0.4905,0.1727,0.3071,0.0,0,4,0.3163,0.0791,1
Carla Leite,player_assists,7.5,under,-142,draftkings,0.7534,0.582,0.1714,0.284,0.0,0,4,0.4032,0.1008,1
Laura Juskaite,player_rebounds,3.5,over,-152,draftkings,0.7352,0.5735,0.1617,0.2189,0.0,0,2,0.3327,0.0832,1
Julie Allemand,player_rebounds,2.5,over,100,betonlineag,0.6302,0.4688,0.1614,0.2604,0.0,0,2,0.2604,0.0651,1
Jonquel Jones,player_points,14.5,under,-101,draftkings,0.6342,0.4819,0.1523,0.2621,0.0,0,3,0.2647,0.0662,1
Kelsey Mitchell,player_assists,2.5,over,146,fanduel,0.5157,0.3704,0.1453,0.2686,0.0,0,3,0.184,0.046,1
Bridget Carleton,player_points,15.5,under,-103,betonlineag,0.6309,0.4882,0.1427,0.2434,0.0,0,4,0.2507,0.0627,1
Breanna Stewart,player_points,22.5,under,-104,draftkings,0.6331,0.4943,0.1388,0.2419,0.0,0,3,0.2515,0.0629,1
Sydney Taylor,player_points,12.5,over,104,fanduel,0.6084,0.4764,0.132,0.2411,0.0,0,4,0.2319,0.058,1
Sonia Citron,player_assists,4.5,under,-108,williamhill_us,0.6237,0.4917,0.132,0.2012,0.0,0,4,0.2173,0.0543,1
Cecilia Zandalasini,player_points,8.5,over,-104,fanduel,0.6101,0.4794,0.1307,0.1967,0.0,0,4,0.2046,0.0512,1
Rae Burrell,player_rebounds,2.5,under,116,fanduel,0.5625,0.4319,0.1306,0.215,0.0,0,2,0.1853,0.0463,1
Aneesah Morrow,player_points,12.5,over,-122,draftkings,0.6455,0.5178,0.1277,0.1746,0.0,0,3,0.213,0.0533,1
Megan DiLeo,player_points,14.5,under,-108,fanduel,0.6209,0.4933,0.1276,0.1958,0.0,0,4,0.2115,0.0529,1
Sabrina Ionescu,player_points,18.5,under,-107,draftkings,0.6216,0.4943,0.1273,0.2025,0.0,0,3,0.2167,0.0542,1
Kelsey Mitchell,player_points,26.5,under,-121,draftkings,0.6396,0.5134,0.1262,0.1682,0.0,0,1,0.2035,0.0509,1
Rae Burrell,player_points,16.5,under,-123,betonlineag,0.6523,0.527,0.1253,0.1826,0.0,0,2,0.2246,0.0562,1
Veronica Burton,player_points,13.5,under,-110,draftkings,0.6117,0.4877,0.124,0.1678,0.0,0,1,0.1846,0.0461,1
Aneesah Morrow,player_points,13.5,over,100,fanduel,0.5869,0.4663,0.1206,0.1738,0.0,0,1,0.1738,0.0434,1
Isabelle Harrison,player_rebounds,6.5,over,128,betonlineag,0.5239,0.4057,0.1182,0.1945,0.0,0,2,0.1519,0.038,1
Courtney Vandersloot,player_points,7.5,over,-122,betonlineag,0.6402,0.5223,0.1179,0.165,0.0,0,3,0.2012,0.0503,1
Jonquel Jones,player_rebounds,9.5,under,-136,draftkings,0.6643,0.5464,0.1179,0.1528,0.0,0,3,0.2077,0.0519,1
Breanna Stewart,player_assists,3.5,under,-104,draftkings,0.6087,0.491,0.1177,0.194,0.0,0,3,0.2017,0.0504,1
Courtney Williams,player_rebounds,4.5,under,-114,fanduel,0.6369,0.5224,0.1145,0.1956,0.0,0,4,0.223,0.0557,1
Kiki Iriafen,player_assists,2.5,under,-202,draftkings,0.7504,0.6371,0.1133,0.1219,0.0,0,1,0.2462,0.0616,1
Aneesah Morrow,player_rebounds,8.5,over,-125,betonlineag,0.6477,0.5349,0.1128,0.1659,0.0,0,2,0.2073,0.0518,1
Emily Engstler,player_rebounds,5.5,under,-122,fanduel,0.6541,0.545,0.1091,0.1902,0.0,0,4,0.2321,0.058,1
