player,market,line,side,best_price,book,model_p,fair_p,edge,ev_per_unit,p_push,is_whole_line,n_books,kelly_full,kelly_frac,bet_flag
Kiki Rice,player_assists,4.5,under,122,fanduel,0.6925,0.4343,0.2582,0.5373,0.0,0,4,0.4405,0.1101,1
Laura Juskaite,player_rebounds,4.5,over,132,fanduel,0.5758,0.3938,0.182,0.3359,0.0,0,2,0.2544,0.0636,1
Angel Reese,player_points,15.5,over,-106,draftkings,0.6812,0.5011,0.1801,0.3238,0.0,0,4,0.3433,0.0858,1
Aneesah Morrow,player_points,12.5,under,-125,betonlineag,0.7016,0.5255,0.1761,0.2629,0.0,0,3,0.3286,0.0822,1
Laura Juskaite,player_points,10.5,over,103,betonlineag,0.6355,0.4596,0.1759,0.2901,0.0,0,3,0.2816,0.0704,1
Caitlin Clark,player_assists,9.5,under,106,draftkings,0.6157,0.4447,0.171,0.2683,0.0,0,1,0.2532,0.0633,1
Laura Juskaite,player_points,9.5,over,-132,draftkings,0.706,0.5357,0.1703,0.2408,0.0,0,1,0.3179,0.0795,1
Aneesah Morrow,player_rebounds,7.5,under,-111,draftkings,0.6805,0.5107,0.1698,0.2936,0.0,0,4,0.3259,0.0815,1
Kelsey Mitchell,player_points,25.5,under,-108,betonlineag,0.6636,0.4939,0.1697,0.278,0.0,0,4,0.3003,0.0751,1
NaLyssa Smith,player_rebounds,5.5,over,-130,betonlineag,0.6977,0.5337,0.164,0.2344,0.0,0,1,0.3047,0.0762,1
Laura Juskaite,player_rebounds,3.5,over,-157,draftkings,0.7329,0.5768,0.1561,0.1997,0.0,0,2,0.3136,0.0784,1
Aneesah Morrow,player_points,11.5,under,-108,draftkings,0.6387,0.4832,0.1555,0.2301,0.0,0,1,0.2485,0.0621,1
Rae Burrell,player_points,17.5,under,-120,betonlineag,0.6811,0.5263,0.1548,0.2487,0.0,0,4,0.2984,0.0746,1
Caitlin Clark,player_assists,10.5,under,-130,betonlineag,0.7075,0.5607,0.1468,0.2517,0.0,0,3,0.3272,0.0818,1
