player,market,line,side,best_price,book,model_p,fair_p,edge,ev_per_unit,p_push,is_whole_line,n_books,kelly_full,kelly_frac,bet_flag
Kelsey Mitchell,player_points,25.5,under,-110,fanduel,0.6818,0.4966,0.1852,0.3016,0.0,0,3,0.3318,0.0829,1
Arike Ogunbowale,player_assists,2.5,over,-116,betonlineag,0.6896,0.5155,0.1741,0.2841,0.0,0,3,0.3295,0.0824,1
Tiffany Hayes,player_points,10.5,under,-105,draftkings,0.6636,0.4932,0.1704,0.2956,0.0,0,4,0.3104,0.0776,1
Gabby Williams,player_rebounds,2.5,over,-108,betonlineag,0.6557,0.4893,0.1664,0.2628,0.0,0,2,0.2839,0.071,1
Tiffany Hayes,player_rebounds,2.5,under,-140,draftkings,0.7135,0.5471,0.1664,0.2231,0.0,0,1,0.3124,0.0781,1
Angel Reese,player_points,16.5,over,-102,draftkings,0.6209,0.4678,0.1531,0.2296,0.0,0,1,0.2342,0.0586,1
Caitlin Clark,player_assists,9.5,under,104,fanduel,0.6115,0.4618,0.1497,0.2475,0.0,0,3,0.2379,0.0595,1
Rae Burrell,player_points,16.5,under,100,fanduel,0.6197,0.4719,0.1478,0.2394,0.0,0,3,0.2394,0.0599,1
Azura Stevens,player_rebounds,6.5,over,122,betonlineag,0.5599,0.4162,0.1437,0.243,0.0,0,2,0.1992,0.0498,1
Kamilla Cardoso,player_points,13.5,over,-127,draftkings,0.6696,0.5292,0.1404,0.1968,0.0,0,3,0.25,0.0625,1
Angel Reese,player_rebounds,11.5,over,-135,draftkings,0.6777,0.5374,0.1403,0.1797,0.0,0,1,0.2426,0.0606,1
Angel Reese,player_points,15.5,over,-130,fanduel,0.6722,0.5343,0.1379,0.1893,0.0,0,2,0.2461,0.0615,1
Kamilla Cardoso,player_rebounds,7.5,over,-134,draftkings,0.6799,0.5435,0.1364,0.1873,0.0,0,3,0.251,0.0627,1
Angel Reese,player_rebounds,12.5,over,104,betonlineag,0.5931,0.4572,0.1359,0.2099,0.0,0,2,0.2018,0.0505,1
Courtney Vandersloot,player_points,8.5,over,-130,fanduel,0.6717,0.5359,0.1358,0.1884,0.0,0,2,0.2449,0.0612,1
Arike Ogunbowale,player_rebounds,2.5,over,-138,fanduel,0.6931,0.5609,0.1322,0.1953,0.0,0,3,0.2696,0.0674,1
Arike Ogunbowale,player_points,14.5,over,-101,betonlineag,0.6207,0.4888,0.1319,0.2353,0.0,0,4,0.2376,0.0594,1
